"jp_text","kr_text"
ゲーデル、エッシャー、バッハは、それぞれの分野で自己言及的な「不思議の環」を描き出した。,"괴델, 에셔, 바흐는 각자의 분야에서 자기 언급적인 '이상한 고리'를 그려냈다."
手術の前には、逆性石鹸で念入りに手を洗う。,수술 전에는 역성비누(양이온 비누)로 꼼꼼히 손을 씻는다.
医者に血圧を毎日測るように言われた。,의사에게 혈압을 매일 재라고 들었다.
この薬はごく微量でも効果がある。,이 약은 극미량이라도 효과가 있다.
秋の京都は、燃えるような紅葉で埋め尽くされる。,가을의 교토는 타오르는 듯한 단풍으로 가득 찬다.
伝統を尊ぶ心を忘れない。,전통을 숭상(존중)하는 마음을 잊지 않는다.
申し込みに必要な事項は、こちらの案内にまとめてあります。,신청에 필요한 사항은 이 안내문에 정리되어 있습니다.
契約書の細かい条項まで、弁護士が丁寧に確認した。,변호사가 계약서의 세부 조항까지 꼼꼼히 확인했다.
自嘲気味に笑ってごまかしたが、本当は悔しかった。,자조 섞인 웃음으로 얼버무렸지만 사실은 분했다.
人気チケットの買い占めが問題になった。,인기 티켓의 사재기가 문제가 됐다.
この機械は最新の安全装置を具備している。,이 기계는 최신 안전 장치를 갖추고 있다.
裏路地の賭場に近づくな、と父に言われた。,뒷골목 도박장엔 가까이 가지 말라고 아버지가 말했다.
在庫が過剰になり、倉庫の通路が塞がった。,재고가 과잉이 되어 창고 통로가 막혔다.
彼はかなり強引なやり方で契約をまとめた。,그는 꽤 강압적인 방식으로 계약을 성사시켰다.
ボードリヤールは、現代社会をオリジナルなきコピーである「シミュラークル」が支配する世界と見た。,보드리야르는 현대 사회를 원본 없는 복제인 '시뮬라크르'가 지배하는 세계로 보았다.
世界の貧困問題を解決するのは簡単ではない。,세계의 빈곤 문제를 해결하는 것은 쉽지 않다.
この薬は水に溶けやすい性質がある。,이 약은 물에 잘 녹는 성질이 있다.
太刀を腰に差した侍が、静かに門をくぐった。,허리에 타치(일본식 장검)를 찬 사무라이가 조용히 문을 지나갔다.
古い柱時計が、毎時きっちり音を鳴らす。,오래된 괘종시계가 매 시각 정확히 소리를 낸다.
嵐が近づいてきたので、船は針路を南に変更した。,폭풍이 다가와서 배는 침로(항로)를 남쪽으로 변경했다.
困ったらいつでも私に頼るといいよ。,곤란하면 언제든 나에게 의지해도 돼.
駅付近のホテルを予約した。,역 부근의 호텔을 예약했다.
締め切り前でも確認を怠るとミスが増える。,마감 전이라도 확인을 게을리하면 실수가 늘어난다.
茶の湯に精通した居士が、茶室で静かに客をもてなす。,다도에 정통한 거사가 다실에서 조용히 손님을 대접한다.
茶道では、主客が一体となる瞬間を大切にする。,다도에서는 주인과 손님(주객)이 일체가 되는 순간을 소중히 여긴다.
パノプティコンの構想は、少数の監視者が多数の囚人を効率的に統制するシステムだ。,파놉티콘의 구상은 소수의 감시자가 다수의 죄수를 효율적으로 통제하는 시스템이다.
教授にメールして、研究計画を相談した。,교수에게 메일을 보내 연구 계획을 상의했다.
校訓は質実剛健で、飾らず真面目な生徒が多い。,"교훈은 질실강건(검소하고 씩씩함)이라, 꾸밈없고 성실한 학생이 많다."
彼は小声でぶつぶつ文句を言っている。,그는 작은 목소리로 투덜투덜 불평하고 있다.
犯人は恐ろしい形相で、警察官を睨みつけた。,범인은 무서운 형상으로 경찰관을 노려보았다.
宗教の違いを尊重する姿勢が求められる。,종교의 차이를 존중하는 태도가 요구된다.
優秀な研究者に賞が授与された。,우수한 연구자에게 상이 수여되었다.
旅先での頼りは、地図アプリと予備バッテリーだ。,여행지에서 믿을 건 지도 앱과 예비 배터리다.
彼は強健な体を生かして登山ガイドとして働いている。,그는 강건한 체력을 살려 등산 가이드로 일하고 있다.
人気アイドルのコンサートチケットは、発売と同時に忽ち売り切れた。,인기 아이돌의 콘서트 티켓은 발매와 동시에 순식간에 매진되었다.
暗闇の中から、悪魔の囁きのような甘い誘惑の声が聞こえた。,어둠 속에서 악마의 속삭임 같은 달콤한 유혹의 목소리가 들려왔다.
ライプニッツのモナド論によれば、世界は窓のない単純実体であるモナドから構成されている。,라이프니츠의 모나드론에 따르면 세계는 창문이 없는 단순 실체인 모나드로 구성되어 있다.
肺活量を測ったら予想より低くて、散歩から始めると決めた。,폐활량을 재 보니 예상보다 낮아서 산책부터 시작하기로 했다.
画学生たちは、モデルの裸体を素早くクロッキー帳に描き留めた。,미대생들은 모델의 나체를 재빠르게 크로키북에 그려 담았다.
橋の設計では、風や地震による応力を計算に入れる。,다리 설계에서는 바람이나 지진에 의한 응력을 계산에 넣는다.
都の条例で、路上喫煙は罰金になることがある。,도(도쿄도)의 조례로 길거리 흡연은 벌금이 될 수 있다.
麻薬の所持は厳しく罰せられる。,마약 소지는 엄하게 처벌받는다.
昨夜は雨の音でなかなか眠れなかった。,어젯밤에는 비 소리 때문에 좀처럼 잠들지 못했다.
急に老けたように見えるが、何かあったのか。,갑자기 늙어 보이는데 무슨 일 있었어?
秋の歩道は、色とりどりの落葉で埋め尽くされていた。,가을의 보도는 형형색색의 낙엽으로 뒤덮여 있었다.
その儀式には古い民俗信仰が色濃く残っている。,그 의식에는 오래된 민속 신앙이 짙게 남아 있다.
川の渡し船に乗り、ゆっくり対岸へ向かった。,강의 나룻배를 타고 천천히 맞은편으로 향했다.
少しくらい汚れていても、私は全然構わない。,조금 더러워져 있어도 나는 전혀 상관없다.
遅れるなら、早めに連絡してくれる？,늦을 거면 미리 연락해 줄래?
彼女の笑みに一抹の不安が混じっていた。,그녀의 미소에는 한 줌의 불안이 섞여 있었다.
万一のために保険に入っておく。,만일을 대비해 보험에 들어 둔다.
貧乏でも笑っていられる日がある。,가난해도 웃을 수 있는 날이 있다.
会議室の空気が淀んでいて、誰も本音を言わない。,회의실 분위기가 정체되어 있어서 아무도 속마음을 말하지 않는다.
彼は独我論的な考えに陥り、他者の存在を疑い始めた。,그는 독아론적인 생각에 빠져 타자의 존재를 의심하기 시작했다.
次は森の入口で地図を広げ、迷わない道順を確認した。,다음에는 숲 입구에서 지도를 펼쳐 길을 잃지 않도록 동선을 확인했다.
地震の直後に停電が起きて、街は真っ暗になった。,지진 직후에 정전이 일어나서 도시는 완전히 암흑이 되었다.
このジャケットは丈夫な合成繊維でできていて、アウトドアに最適だ。,이 재킷은 튼튼한 합성 섬유로 만들어져 야외 활동에 안성맞춤이다.
赤ちゃんのミルク用に、湯冷ましを小瓶に入れて冷蔵庫に置いた。,아기 분유용으로 끓였다 식힌 물(유라마시)을 작은 병에 담아 냉장고에 뒀다.
白い縁取りのあるハンカチを買った。,하얀 테두리가 있는 손수건을 샀다.
江戸時代の末期には、社会の仕組みが大きく変わり始めていた。,에도 시대 말기에는 사회 구조가 크게 변하기 시작하고 있었다.
クラスメートの中で、ユウは一番足が速い。,반 친구들 중에서 유우가 가장 발이 빠르다.
雨で靴下が湿して、気持ち悪い。,비로 양말이 젖어서(축축해져서) 불쾌하다.
冷蔵庫に磁石でメモを貼った。,냉장고에 자석으로 메모를 붙였다.
彼女は好きな歌を小声で口ずさんでいる。,그녀는 좋아하는 노래를 작은 소리로 흥얼거리고 있다.
時間が経てば、心の痛みも少しずつ癒える。,시간이 지나면 마음의 아픔도 조금씩 아문다.
現地の特派員が、緊迫した戦況を伝えている。,현지 특파원이 긴박한 전황을 전하고 있다.
今日は都合が悪いので、明日にしてもいい？,오늘은 사정이 안 좋아서 내일로 해도 될까?
彼の巧みな論法に説得され、契約書にサインした。,그의 교묘한 논법에 설득되어 계약서에 서명했다.
この部品は東南アジアへ輸出している。,이 부품은 동남아시아로 수출하고 있다.
予定が狂うとすぐに不機嫌になる。,계획이 틀어지면 금방 불쾌해진다.
彼は来日してから、日本語の勉強を本格的に始めた。,그는 내일한 뒤로 일본어 공부를 본격적으로 시작했다.
彼は孤立無援の戦場で、最後まで戦い抜いた。,그는 고립무원의 전장에서 마지막까지 싸워 이겼다.
村の古老が戦前の暮らしの様子を語ってくれた。,마을의 노인이 전쟁 전 생활 모습을 들려주었다.
フッサールの現象学は、哲学史に大きな足跡を残した。,후설의 현상학은 철학사에 큰 발자취를 남겼다.
都心のカフェは朝から満席で、席待ちの列ができた。,도심 카페는 아침부터 만석이라 대기 줄이 생겼다.
専門家に鑑定してもらったところ、その壺は本物の骨董品だとわかった。,전문가에게 감정을 받아 보니 그 항아리는 진짜 고미술품이라는 것이 밝혀졌다.
初めて首都を訪れ、地下鉄の路線図に迷った。,처음 수도를 방문해 지하철 노선도에서 길을 잃었다.
雨が激しくなってきたので、ここで車を留めよう。,비가 거세졌으니 여기에서 차를 세우자.
山に雲がかかって、天気が変わりそうだ。,산에 구름이 걸려 날씨가 변할 것 같다.
新しい証拠が裁判を揺すぶり、傍聴席がざわめいた。,새로운 증거가 재판을 뒤흔들어 방청석이 술렁였다.
机の引き出しに、宝物を隠している。,책상 서랍에 보물을 숨겨두고 있다.
彼は写真の世界では完全な玄人だ。,그는 사진 세계에서는 완전한 전문가다.
猫がひなたぼっこをしている。,고양이가 햇볕을 쬐고 있다.
警官は少年を説諭して、保護者に引き渡した。,경찰관은 소년을 훈계(설유)한 뒤 보호자에게 인계했다.
政府の発表は、午後3時に予定されている。,정부 발표는 오후 3시에 예정되어 있다.
転倒して負傷し、救急外来に運ばれた。,넘어져 부상당해 응급 외래로 옮겨졌다.
判決は常識を覆すものだった。,판결은 상식을 뒤엎는 것이었다.
都会で暮らしていても、常に古里の山河を思っている。,도시에 살고 있어도 항상 고향의 산하를 생각하고 있다.
明治政府は欧米に遣外使節団を送り、近代化の手本を学んだ。,메이지 정부는 구미에 연외 사절단을 보내 근대화의 본보기를 배웠다.
都会の夜はネオンがまぶしく、星が見えにくい。,도시의 밤은 네온이 눈부셔 별이 잘 보이지 않는다.
急に帰れない訳ができて、終電を逃した。,갑자기 돌아갈 수 없는 사정이 생겨 막차를 놓쳤다.
無理を続けると、心も体も歪む。,무리를 계속하면 마음도 몸도 뒤틀린다.
家族の写真を壁に飾っている。,가족사진을 벽에 장식해 두었다.
人気俳優の舞台公演のチケットがすぐ完売した。,인기 배우의 무대 공연 티켓이 금방 매진되었다.
女優の妖艶な微笑みに会場がどよめいた。,여배우의 요염한 미소에 회장이 술렁였다.
急な雨で傘を差し、街のネオンが水たまりに滲んだ。,갑작스런 비에 우산을 쓰니 거리의 네온이 웅덩이에 번졌다.
村人たちは山の権現に豊作を祈って、毎年お祭りを開いている。,마을 사람들은 산의 권현에게 풍작을 빌며 매년 축제를 연다.
戦争によって多くの孤児が生まれた。,전쟁으로 인해 많은 고아가 생겼다.
この計画には失敗の虞がある。,이 계획에는 실패의 우려가 있다.
前途は多難でも、挑戦をやめないと決めた。,앞길이 험해도 도전을 멈추지 않기로 결심했다.
町には古くから続く問屋卸商が多い。,마을에는 예부터 이어진 도매상들이 많다.
郊外に新しい貨物駅が建設された。,교외에 새로운 화물역이 건설되었다.
水面に石を投げると、美しい波動が広がっていく。,수면에 돌을 던지면 아름다운 파동이 퍼져 나간다.
悔しさのあまり、夜も眠れずに歯軋りをした。,분함을 이기지 못해 밤에 잠도 못 자고 이를 갈았다.
彼は急に痩せて顔がげっそりしてしまった。,그는 갑자기 살이 빠져 얼굴이 홀쭉해져 버렸다。
駅まで徒歩で十五分だから、雨でも歩く。,역까지 도보 15분이라 비가 와도 걷는다.
床に水をこぼして滑りそうになった。,바닥에 물을 쏟아 미끄러질 뻔했다。
山から霧が垂れ込んで、道の先が見えなくなった。,산에서 안개가 내려와 드리워져 길 앞이 보이지 않게 되었다.
桜は花盛りで、公園は人でいっぱいだった。,벚꽃이 만개해 공원은 사람들로 가득했다.
電気を消し忘れないようにしよう。,전등을 끄는 것을 잊지 않도록 하자.
城の門には足軽たちが交代で見張りについていた。,성문에는 졸병들이 교대로 보초를 서고 있었다.
就職氷河期に社会に出た世代は、ロストジェネレーションと呼ばれている。,"취업 빙하기에 사회에 나온 세대는, 로스트 제너레이션(잃어버린 세대)이라 불린다."
バスに乗っているうちに吐き気がして、窓を開けてもらった。,버스를 타고 있는 사이 메스꺼워져 창문을 열어 달라고 했다.
連休が終わるころには桜も葉桜になっていた。,연휴가 끝날 무렵에는 벚꽃도 이미 잎벚꽃이 되어 있었다.
この地域の耕地の多くが宅地に変わってしまった。,이 지역의 경작지 대부분이 주택지로 바뀌어 버렸다.
雪解けの水で川が増水した。,눈 녹은 물로 강이 불어났다.
工場から臭気が漏れていると苦情が出た。,공장에서 악취가 새어 나온다는 민원이 들어왔다.
駅前に新しいビルが建設中だ。,역 앞에 새 건물이 건설 중이다.
彼は足を大きく開いて股を伸ばして座った。,그는 다리를 크게 벌려 가랑이를 쭉 펴고 앉았다.
玄関に家族の肖像を飾っている。,현관에 가족의 초상화를 걸어 두었다。
あと一歩で勝てたと思うと、本当に悔しい。,한 발짝만 더 했으면 이길 수 있었다고 생각하니 정말 분하다.
玄関で深く息を吐いて、気持ちを切り替えた。,현관에서 깊게 숨을 내쉬며 마음을 다잡았다.
檻の外でも猛獣は目で威嚇してきた。,우리 밖에서도 맹수는 눈으로 위협해왔다.
会議では、増税に賛成の派と反対の派が激しく対立した。,회의에서는 증세에 찬성하는 파와 반대하는 파가 격렬하게 대립했다.
その研究は栄誉ある賞を受け、世界中で注目された。,그 연구는 영예로운 상을 받아 전 세계의 주목을 받았다.
店員は商品のメリットを並べ立てて、客を説得した。,점원은 상품의 장점을 늘어놓으며 손님을 설득했다.
履歴書に経歴を正直に書くのが一番だ。,이력서에 경력을 솔직하게 쓰는 게 최고다.
今年の旅行は、予算の範囲内で無理なく楽しみたい。,올해 여행은 예산 범위 안에서 무리 없이 즐기고 싶다.
怒りに任せて、書類を床に投げ付けた。,화가 나서 서류를 바닥에 내던졌다.
大学の課程を無事に修了した。,대학교 과정을 무사히 마쳤다.
このレストランは雰囲気がとても良い。,이 레스토랑은 분위기가 아주 좋다.
父は日曜大工が好きで、庭に小屋を作っている。,아버지는 주말 목공을 좋아하셔서 정원에 오두막을 짓고 계신다.
列車が遅延し、ホームで人波がざわめいた。,열차가 지연되어 승강장에서 인파가 술렁였다.
この渋滞は、工事による車線規制が原因らしい。,이 정체는 공사에 의한 차선 규제가 원인인 듯하다.
交渉の余地があるなら、見積もりを取り直したい。,협상의 여지가 있다면 견적을 다시 받고 싶다.
物理学の定数は、宇宙の法則を記述するのに不可欠だ。,물리학의 상수는 우주의 법칙을 기술하는 데 필수적이다.
実験データの平均値を算出して、グラフにする。,실험 데이터의 평균값을 산출해서 그래프로 만든다.
彼は説明が上手だから、新人にもすぐ理解させられる。,그는 설명을 잘해서 신입들도 금방 이해시킬 수 있다.
売上を殖やすには、まずリピートを増やす。,매출을 늘리려면 먼저 재구매를 늘려야 한다.
彼女はついに秘密を吐露し、静かに目を伏せた。,그녀는 마침내 비밀을 털어놓고 조용히 눈을 내리깔았다.
彼女は人付き合いが上手で、どんな場でもすぐ打ち解ける。,그녀는 대인관계를 잘해서 어떤 자리에서도 금방 분위기에 녹아든다.
母豚が鳴くと、子豚が一斉に寄ってきた。,어미 돼지가 울면 새끼 돼지들이 한꺼번에 몰려왔다.
心拍数の数値が急に上がっている。,심박수 수치가 갑자기 올라가고 있다.
舞台での音吐朗々たる語りに、客席が静まり返った。,무대에서 울려 퍼지는 낭랑한 낭독에 객석이 숨죽였다.
彼の研究は医療の発展に大きく貢献した。,그의 연구는 의료 발전에 크게 공헌했다.
犬が庭に骨を埋めて、あとで掘り返して遊んでいる。,개가 마당에 뼈를 묻어 두었다가 나중에 파내며 놀고 있다.
北前船は、北海道と大阪を結ぶ交易ルートとして江戸時代の経済を支えた。,키타마에 배는 홋카이도와 오사카를 잇는 교역 루트로서 에도 시대의 경제를 지탱했다.
絶対値を取ると、−3も3になる。,절댓값을 취하면 -3도 3이 된다.
その二つを混同しないように注意しよう。,그 둘을 혼동하지 않도록 주의하자.
朝の湖が霧に煙っていて幻想的だった。,아침 호수가 안개에 자욱이 싸여 몽환적이었다.
コンサートのあと、しばらく耳鳴りが続いた。,콘서트가 끝난 뒤 한동안 이명이 계속되었다.
銀行で約束手形を振り出し、取引先に渡した。,은행에서 약속어음을 발행하여 거래처에 건넸다.
父の諭しは厳しかったが、今では感謝している。,아버지의 훈계는 엄격했지만 지금은 감사하고 있다.
長方形の対角線を引くと、二つの直角三角形ができる。,직사각형의 대각선을 그으면 두 개의 직각삼각형이 생긴다.
家畜の飼料が高騰して、農家は頭を抱えている。,가축 사료가 급등해 농가가 고민에 빠져 있다.
タニガワ君は、クラスで一番足が速い生徒だ。,타니가와 군은 반에서 가장 발이 빠른 학생이다.
医者は患者の眼をじっと見て、症状を説明した。,의사는 환자의 눈을 뚫어지게 바라보며 증상을 설명했다.
彼が努力していることは、現に結果として表れている。,그가 노력하고 있다는 것은 실제로 결과로 나타나고 있다.
姉は中学校の教諭として生徒指導に力を入れている。,언니는 중학교 교사로서 생활지도에 힘을 쏟고 있다.
突然の倒産で、取引先も連鎖的に打撃を受けた。,갑작스런 도산으로 거래처도 연쇄적으로 타격을 받았다.
蝶の羽の模様は、左右対称になっていて美しい。,나비 날개 무늬는 좌우 대칭이라 아름답다.
林業の現場では、安全確認が何より大切だ。,임업 현장에서는 안전 확인이 무엇보다 중요하다.
綿の布団にくるまると、冬の夜でも不思議とぬくもりを感じる。,솜 이불을 뒤집어쓰면 겨울밤에도 왠지 따뜻함이 느껴진다.
この箱には、旅行先で集めた小さな物がぎっしり詰まっている。,이 상자에는 여행지에서 모은 작은 물건들이 빼곡히 들어 있다.
現在の経済状況を踏まえて、出費を見直す必要がある。,현재의 경제 상황을 고려해 지출을 재검토할 필요가 있다.
売上は夏以降、頭打ちになった。,매출은 여름 이후 정체(두드러진 증가가 멈춤)됐다.
現代アートの美術館で、不思議な造形の彫刻を見た。,현대 미술관에서 신기한 조형의 조각을 보았다.
親友の死を悲しみながら、手紙を書いた。,절친의 죽음을 슬퍼하며 편지를 썼다.
川で遊んだあとは、泥のついた足をよく濯いでから帰ろう。,강에서 논 뒤에는 흙이 묻은 발을 잘 헹구고 돌아가자.
山小屋の前で北斗七星を探し、方角を確かめた。,산장 앞에서 북두칠성을 찾아 방향을 확인했다.
資金繰りが尽きて、店は破産した。,자금이 바닥나 가게는 파산했다.
この業界は景気で会社の浮沈が決まる。,이 업계는 경기 상황에 따라 회사의 흥망이 결정된다.
政治の議論は感情的になりやすい。,정치 논의는 감정적으로 흐르기 쉽다.
二十歳になったら、家族でささやかに乾杯しよう。,스무 살이 되면 가족과 소박하게 건배하자。
素数の分布に関する謎は、数学者を魅了し続けている。,소수의 분포에 관한 수수께끼는 수학자들을 계속 매료시키고 있다.
ジェレミー・ベンサムは、囚人が常に監視される刑務所の設計としてパノプティコンを提案した。,제레미 벤담은 죄수가 항상 감시받는 감옥 설계로 파놉티콘을 제안했다.
新生活のために、最低限必要な台所用品だけを買いそろえた。,새 생활을 위해 최소한 필요한 주방용품만 사들였다.
昨夜は雨音を聞きながら、本を読み続けていた。,어젯밤에는 빗소리를 들으며 계속 책을 읽고 있었다.
渋滞を避けるために、少し早めに家を出ることにした。,정체를 피하기 위해 조금 일찍 집을 나서기로 했다.
夏休みが来るのが、今から待ち遠しい。,여름 방학이 오는 것이 지금부터 애타게 기다려진다.
赤と青の旗を交互に並べて飾った。,빨간 깃발과 파란 깃발을 번갈아 늘어놓아 장식했다.
子宝祈願のお守りを授かった。,자식 기원 부적을 받았다.
夏休みに木の工作をして貯金箱を作った。,여름방학에 나무 공작을 해서 저금통을 만들었다.
旅館で草履に履き替えたら、畳の感触が心地よかった。,료칸에서 조리(草履)로 갈아 신으니 다다미 감촉이 좋았다.
祝いの席で彼は斗酒をあおったが、顔色一つ変えなかった。,축하 자리에서 그는 큰 잔으로 술을 들이켰지만 얼굴색 하나 변하지 않았다.
小学生の息子と一緒に漢字の書き取り練習をしている。,초등학생 아들과 함께 한자 받아쓰기를 연습하고 있다.
彼は股関節の手術を受けて、今はリハビリ中だ。,그는 고관절 수술을 받고 지금은 재활 중이다.
病気の素因を調べるために、遺伝子検査を行った。,병의 소인을 알아보기 위해 유전자 검사를 실시했다.
仏教の僧侶は夜明けに、静かな寺院の庭で黙想して座っていた。,불교 승려가 동틀 무렵 고요한 사원 마당에 앉아 명상에 잠겨 있었다.
祖父の家は、広い果樹園の中にある。,할아버지 댁은 넓은 과수원 안에 있다.
彼女は内股で立つ癖を直そうとしている。,그녀는 안짱다리로 서는 버릇을 고치려고 하고 있다.
彼は球を投げるフォームが美しくて、見ていて気持ちがいい。,그는 공을 던지는 폼이 아름다워 보고 있으면 기분이 좋다.
二人は三年前から交際している。,두 사람은 3년 전부터 교제하고 있다.
子宝に恵まれて家がにぎやかになった。,자식을 얻게 되어 집이 떠들썩해졌다.
停電で電気が消え、家族はろうそくを灯した。,정전으로 전기가 꺼져 가족이 촛불을 켰다.
ドアの閉まる音が大きすぎる。,문 닫히는 소리가 너무 크다.
彼は周囲の反対に遭い、四面楚歌の状態だった。,"그는 주위의 반대에 부딪혀, 사면초가의 상태였다."
困っている人を助けるのが、家の誉れだと祖父は言った。,어려운 사람을 돕는 것이 집안의 명예(誉れ)라고 할아버지는 말했다.
製鋼工場では、溶けた鉄が火花を散らしている。,제강 공장에서는 녹은 철이 불꽃을 튀기고 있다.
不祥事の後、彼は地方支社へ左遷された。,비리가 터진 후 그는 지방 지사로 좌천되었다.
最新の機械を使って、金属を精密に切削する。,최신 기계를 사용하여 금속을 정밀하게 절삭한다.
祭りの日、山車が太鼓の音とともに通りを練り歩いた。,"축제 날, 산차(야마)가 북소리와 함께 거리를 행진했다."
"１から１０までの整数の和を計算しなさい。","1부터 10까지의 정수의 합을 계산하시오."
政府は一部の輸入品に対する関税を引き上げた。,정부는 일부 수입품에 대한 관세를 인상했다.
うっかり秘密を漏らしてしまい、みんなを驚かせてしまった。,그만 비밀을 누설해 버려 모두를 놀라게 하고 말았다.
現実に直面して初めて、自分がどれほど守られていたかに気づいた。,현실과 맞닥뜨리고서야 자신이 얼마나 보호받고 있었는지 깨달았다.
祝日は美術館が混むので、朝一で行く。,공휴일에는 미술관이 붐비니 아침 일찍 간다.
二つの組織の間で激しい抗争が続いている。,두 조직 사이에서 격렬한 항쟁이 계속되고 있다.
深夜に廊下から物音がして目が覚めた。,심야에 복도에서 나는 소리에 잠에서 깼다.
こちらは殿方用の浴衣でございます。,이쪽은 남성용 유카타입니다.
友達にお菓子を半分あげる。,친구에게 과자를 반 준다.
彼は公団住宅に一人で暮らしている。,그는 공단 주택에서 혼자 살고 있다.
曇天の下、グラウンドで黙々と練習が行われていた。,흐린 하늘 아래 운동장에서 묵묵히 연습이 진행되고 있었다.
戦争で町は荒廃し、人影もほとんどなかった。,전쟁으로 마을이 황폐해져 사람 그림자도 거의 없었다.
日誌に今日の失敗と反省を書き込んだ。,일지에 오늘의 실패와 반성을 적어 넣었다.
国語の授業で、古典文学の一節を暗唱させられて苦労した。,국어 시간에 고전 문학의 한 구절을 암송시키는 바람에 고생했다.
この商品は小売り店では扱っていない。,이 상품은 소매점에서는 취급하지 않는다.
久しぶりに故郷の友人たちと再会した。,오랜만에 고향 친구들과 재회했다.
成功するためには、地道な努力を続けるしかない。,성공하기 위해서는 꾸준한 노력을 계속할 수밖에 없다.
おにぎりを海苔で巻いて、お弁当に入れる。,주먹밥을 김으로 싸서 도시락에 넣는다.
夕暮れの宮殿がライトアップされ、観光客が門の前で写真を撮っていた。,"해질 무렵 궁전이 조명으로 밝혀지고, 관광객들이 문 앞에서 사진을 찍고 있었다."
私たちが主体となって、町を変えていく。,우리가 주체가 되어 마을을 바꿔 나간다.
庭には黄色いチューリップが咲いている。,마당에는 노란 튤립이 피어 있다.
体がだるくて、今日は早く寝る。,몸이 나른해서 오늘은 일찍 잔다.
バイオリンの柔らかな音色が会場を包んだ。,바이올린의 부드러운 음색이 회장을 감쌌다.
友人の結婚を祝して、乾杯の音頭をとった。,친구의 결혼을 축하하며 건배 제의를 했다.
彼は体格が良くて、スーツが映える。,그는 체격이 좋아서 정장이 잘 어울린다.
水やりを忘れて庭の花が枯れてしまった。,물을 주는 것을 잊어서 정원의 꽃이 시들어 버렸다.
彼女の説明は簡潔で明瞭なので、とても分かりやすい。,그녀의 설명은 간결하고 명료해서 매우 이해하기 쉽다.
この資料はもう目的を果たしたので、今となっては無用の長物だ。,이 자료는 이미 목적을 다해서 지금은 쓸모없는 애물단지다.
七つの橋を渡る、長い道のり。,일곱 개의 다리를 건너는 긴 여정.
金融機関のシステム障害でATMが使えなくなった。,금융 기관 시스템 장애로 ATM을 사용할 수 없게 되었다.
青椒肉絲は、ピーマンのシャキシャキとした食感が決め手だ。,칭자오로스는 피망의 아삭아삭한 식감이 결정적이다.
提出期限は来週の金曜日です。,제출 기한은 다음 주 금요일입니다。
被災者への救済が急がれている。,피해자에 대한 구제가 서두르고 있다.
駅前で号外が配られ、人々が群がっている。,역 앞에서 호외(신문)가 배포되어 사람들이 몰려들고 있다.
音楽室で唱歌を歌いながら、発声の基本を先生に直された。,음악실에서 창가를 부르며 발성 기본을 선생님께 교정받았다.
風で書類が部屋中に散乱してしまった。,바람에 서류가 방 안 가득 흩어지고 말았다.
この詩は対句が美しく、読みやすい。,이 시는 대구(대구법)가 아름다워 읽기 쉽다.
彼の態度は冷淡で、質問しても視線すら合わせなかった。,그의 태도는 냉담해서 질문해도 시선조차 마주치지 않았다.
雪がちらと舞い始め、人々は空を見上げた。,눈이 살짝 흩날리기 시작하자 사람들은 하늘을 올려다보았다.
掃除のときは、まず塵取りにゴミを集めてから捨てている。,청소할 때는 먼저 쓰레받기에 먼지를 모은 뒤 버린다.
建設現場に、大量の鋼材がトラックで運び込まれた。,건설 현장에 대량의 강재가 트럭으로 운반되어 왔다.
彼は法廷で宣誓してから証言を始めた。,그는 법정에서 선서한 뒤 증언을 시작했다.
夜中に目が覚めたのに、金縛りで動けなかった。,한밤중에 깼는데 가위눌려 움직일 수 없었다.
川を越すたびに風景が少しずつ変わっていく。,강을 건널 때마다 풍경이 조금씩 변해 간다.
新しい枕に替えたら首が楽になった。,새 베개로 바꾸니 목이 편해졌다.
その扉は鋼鉄で作られており、非常に頑丈だ。,그 문은 강철로 만들어져 있어 매우 튼튼하다.
夜更けに雨戸が鳴り、風の強さを知った。,한밤중에 빗장이 덜컹거려 바람이 세다는 걸 알았다.
若くして大尉に昇進し、彼は部隊の中心的存在となった。,그는 젊은 나이에 대위로 승진해 부대의 중심적인 존재가 되었다.
棚には一対の花瓶が並んでいる。,선반에 한 쌍의 화병이 놓여 있다.
法学部に入学して、初めて刑法の講義を受けた。,법학부에 입학해서 처음으로 형법 강의를 들었다.
兵士は銃を腰だめに構え、油断なく周囲を警戒した。,"병사는 총을 허리춤에 대고 겨누며, 방심하지 않고 주위를 경계했다."
ボールを思いきり蹴飛ばしたら、隣の庭に入ってしまった。,공을 힘껏 걷어찼더니 옆집 마당으로 들어가 버렸다.
床に点々と続く血痕を見て、皆が息を呑んだ。,바닥에 점점이 이어진 혈흔을 보고 모두 숨을 삼켰다.
昔この町は炭坑で栄えていた。,예전에는 이 마을이 탄광으로 번성했었다.
意見が対立して、会議が荒れた。,의견이 대립해서 회의가 거칠어졌다.
田中様、お荷物のお届けです。,"타나카 님, 짐 배달 왔습니다."
彼は会社の古株としてみんなに頼りにされている。,그는 회사의 고참으로서 모두에게 의지가 되고 있다。
社寺巡りのスタンプ帳がもう一冊埋まりそうだ。,신사·절 순례 스탬프북이 벌써 한 권 더 채워질 것 같다.
屋根の銅板に緑青が広がっていた。,지붕의 구리판에 녹청이 퍼져 있었다.
鉛筆を削って、先を尖らせる。,연필을 깎아 끝을 뾰족하게 한다.
幸いなことに、被害者は軽傷で済んだ。,다행히도 피해자는 경상으로 끝났다.
